,Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
3626,sdg,Sub-Saharan Africa,total,Drinking water,2013,12.38488,113676104.98553999,Limited service
3629,sdg,Sub-Saharan Africa,total,Drinking water,2013,24.093320000000002,221143462.02261,Safely managed service
3632,sdg,Sub-Saharan Africa,total,Drinking water,2013,10.75415,98708259.9143,Surface water
3635,sdg,Sub-Saharan Africa,total,Drinking water,2013,19.49694,178955016.09842,Unimproved
3662,sdg,Sub-Saharan Africa,total,Drinking water,2014,33.49265,315931117.91906,Basic service
3665,sdg,Sub-Saharan Africa,total,Drinking water,2014,12.62285,119069438.76723,Limited service
3668,sdg,Sub-Saharan Africa,total,Drinking water,2014,24.76436,233598468.52,Safely managed service
3671,sdg,Sub-Saharan Africa,total,Drinking water,2014,10.11669,95429170.7317,Surface water
3674,sdg,Sub-Saharan Africa,total,Drinking water,2014,19.00345,179256700.06201002,Unimproved
3701,sdg,Sub-Saharan Africa,total,Drinking water,2015,33.69688,326601660.36916,Basic service
3704,sdg,Sub-Saharan Africa,total,Drinking water,2015,12.856119999999999,124605872.05858001,Limited service
3707,sdg,Sub-Saharan Africa,total,Drinking water,2015,25.44983,246668483.77949,Safely managed service
3710,sdg,Sub-Saharan Africa,total,Drinking water,2015,9.48658,91947181.78761,Surface water
3713,sdg,Sub-Saharan Africa,total,Drinking water,2015,18.5106,179411047.80516002,Unimproved
3740,sdg,Sub-Saharan Africa,total,Drinking water,2017,33.99205,347624648.44992995,Basic service
3743,sdg,Sub-Saharan Africa,total,Drinking water,2017,13.24293,135430743.13017,Limited service
3746,sdg,Sub-Saharan Africa,total,Drinking water,2017,26.92316,275333600.05079,Safely managed service
3749,sdg,Sub-Saharan Africa,total,Drinking water,2017,8.28841,84762646.87691,Surface water
3752,sdg,Sub-Saharan Africa,total,Drinking water,2017,17.55344,179512818.49301,Unimproved
